2026-06-29 12:41:30.573 +05:30 [INF] ApiGateway | Starting API Gateway...
2026-06-29 12:41:31.463 +05:30 [INF] ApiGateway | API Gateway started successfully on port 5000
2026-06-29 12:41:34.319 +05:30 [INF] ApiGateway | Now listening on: http://localhost:5000
2026-06-29 12:41:35.054 +05:30 [INF] ApiGateway | Application started. Press Ctrl+C to shut down.
2026-06-29 12:41:35.070 +05:30 [INF] ApiGateway | Hosting environment: Development
2026-06-29 12:41:35.083 +05:30 [INF] ApiGateway | Content root path: C:\Users\2492194\Downloads\backend 3\backend\ApiGateway
2026-06-29 12:42:09.500 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E4:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-29 12:42:09.506 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E4:00000002, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Hotels'
2026-06-29 12:42:09.518 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E4:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/hotels/{everything}'
2026-06-29 12:42:09.536 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E4:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/hotels/{everything}'
2026-06-29 12:42:09.540 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E4:00000002, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Hotels'.'
2026-06-29 12:42:09.543 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E4:00000002, previousRequestId: No PreviousRequestId, message: '/api/hotels/{everything} route does not require user to be authorized'
2026-06-29 12:42:09.553 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E4:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5002/api/hotels'
