2026-06-27 23:13:22.892 +05:30 [INF] AuthService | Starting Auth Service...
2026-06-27 23:13:25.214 +05:30 [INF] AuthService | JWT configured with Issuer: SmartHotelBooking
2026-06-27 23:13:27.111 +05:30 [INF] AuthService | Auth Service started successfully on port 5001
2026-06-27 23:13:27.889 +05:30 [INF] AuthService | Now listening on: http://localhost:5001
2026-06-27 23:13:28.043 +05:30 [INF] AuthService | Application started. Press Ctrl+C to shut down.
2026-06-27 23:13:28.194 +05:30 [INF] AuthService | Hosting environment: Development
2026-06-27 23:13:28.200 +05:30 [INF] AuthService | Content root path: C:\Users\2492194\Downloads\backend\backend\AuthService
2026-06-27 23:49:04.827 +05:30 [INF] AuthService | Starting Auth Service...
2026-06-27 23:49:06.141 +05:30 [INF] AuthService | JWT configured with Issuer: SmartHotelBooking
2026-06-27 23:49:07.243 +05:30 [INF] AuthService | Auth Service started successfully on port 5001
2026-06-27 23:49:07.978 +05:30 [INF] AuthService | Now listening on: http://localhost:5001
2026-06-27 23:49:08.323 +05:30 [INF] AuthService | Application started. Press Ctrl+C to shut down.
2026-06-27 23:49:08.435 +05:30 [INF] AuthService | Hosting environment: Development
2026-06-27 23:49:08.541 +05:30 [INF] AuthService | Content root path: C:\Users\2492194\Downloads\backend\backend\AuthService
2026-06-27 23:56:00.767 +05:30 [INF] AuthService | Starting Auth Service...
2026-06-27 23:56:01.891 +05:30 [INF] AuthService | JWT configured with Issuer: SmartHotelBooking
2026-06-27 23:56:02.779 +05:30 [INF] AuthService | Auth Service started successfully on port 5001
2026-06-27 23:56:03.348 +05:30 [INF] AuthService | Now listening on: http://localhost:5001
2026-06-27 23:56:03.895 +05:30 [INF] AuthService | Application started. Press Ctrl+C to shut down.
2026-06-27 23:56:03.900 +05:30 [INF] AuthService | Hosting environment: Development
2026-06-27 23:56:03.905 +05:30 [INF] AuthService | Content root path: C:\Users\2492194\Downloads\backend\backend\AuthService
