2026-06-27 23:13:22.918 +05:30 [INF] HotelService | Starting Hotel Service...
2026-06-27 23:13:25.625 +05:30 [INF] HotelService | Hotel Service started successfully on port 5002
2026-06-27 23:13:26.801 +05:30 [INF] HotelService | Now listening on: http://localhost:5002
2026-06-27 23:13:27.008 +05:30 [INF] HotelService | Application started. Press Ctrl+C to shut down.
2026-06-27 23:13:27.165 +05:30 [INF] HotelService | Hosting environment: Development
2026-06-27 23:13:27.247 +05:30 [INF] HotelService | Content root path: C:\Users\2492194\Downloads\backend\backend\HotelService
2026-06-27 23:49:05.198 +05:30 [INF] HotelService | Starting Hotel Service...
2026-06-27 23:49:07.462 +05:30 [INF] HotelService | Hotel Service started successfully on port 5002
2026-06-27 23:49:08.219 +05:30 [INF] HotelService | Now listening on: http://localhost:5002
2026-06-27 23:49:08.450 +05:30 [INF] HotelService | Application started. Press Ctrl+C to shut down.
2026-06-27 23:49:08.453 +05:30 [INF] HotelService | Hosting environment: Development
2026-06-27 23:49:08.458 +05:30 [INF] HotelService | Content root path: C:\Users\2492194\Downloads\backend\backend\HotelService
2026-06-27 23:56:00.954 +05:30 [INF] HotelService | Starting Hotel Service...
2026-06-27 23:56:02.915 +05:30 [INF] HotelService | Hotel Service started successfully on port 5002
2026-06-27 23:56:03.580 +05:30 [INF] HotelService | Now listening on: http://localhost:5002
2026-06-27 23:56:03.765 +05:30 [INF] HotelService | Application started. Press Ctrl+C to shut down.
2026-06-27 23:56:03.770 +05:30 [INF] HotelService | Hosting environment: Development
2026-06-27 23:56:03.775 +05:30 [INF] HotelService | Content root path: C:\Users\2492194\Downloads\backend\backend\HotelService
