2026-06-28 00:06:41.848 +05:30 [INF] LoyaltyService | Starting Loyalty Service...
2026-06-28 00:06:46.106 +05:30 [INF] LoyaltyService | Loyalty Service started successfully on port 5007
2026-06-28 00:06:47.148 +05:30 [INF] LoyaltyService | Now listening on: http://localhost:5007
2026-06-28 00:06:47.432 +05:30 [INF] LoyaltyService | Application started. Press Ctrl+C to shut down.
2026-06-28 00:06:47.440 +05:30 [INF] LoyaltyService | Hosting environment: Development
2026-06-28 00:06:47.444 +05:30 [INF] LoyaltyService | Content root path: C:\Users\2492194\Downloads\backend\backend\LoyaltyService
2026-06-28 23:27:23.554 +05:30 [INF] LoyaltyService | Starting Loyalty Service...
2026-06-28 23:27:25.138 +05:30 [INF] LoyaltyService | Loyalty Service started successfully on port 5007
2026-06-28 23:27:26.213 +05:30 [INF] LoyaltyService | Now listening on: http://localhost:5007
2026-06-28 23:27:26.410 +05:30 [INF] LoyaltyService | Application started. Press Ctrl+C to shut down.
2026-06-28 23:27:26.423 +05:30 [INF] LoyaltyService | Hosting environment: Development
2026-06-28 23:27:26.425 +05:30 [INF] LoyaltyService | Content root path: C:\Users\2492194\OneDrive - Cognizant\Documents\Internship Project\backend\backend\LoyaltyService
2026-06-28 23:43:49.652 +05:30 [INF] LoyaltyService | Starting Loyalty Service...
2026-06-28 23:43:52.052 +05:30 [INF] LoyaltyService | Loyalty Service started successfully on port 5007
2026-06-28 23:43:52.594 +05:30 [INF] LoyaltyService | Now listening on: http://localhost:5007
2026-06-28 23:43:52.725 +05:30 [INF] LoyaltyService | Application started. Press Ctrl+C to shut down.
2026-06-28 23:43:52.828 +05:30 [INF] LoyaltyService | Hosting environment: Development
2026-06-28 23:43:52.830 +05:30 [INF] LoyaltyService | Content root path: C:\Users\2492194\OneDrive - Cognizant\Documents\Internship Project\backend\backend\LoyaltyService
2026-06-28 23:46:23.799 +05:30 [INF] LoyaltyService | Starting Loyalty Service...
2026-06-28 23:46:24.989 +05:30 [INF] LoyaltyService | Loyalty Service started successfully on port 5007
2026-06-28 23:46:25.371 +05:30 [INF] LoyaltyService | Now listening on: http://localhost:5007
2026-06-28 23:46:25.508 +05:30 [INF] LoyaltyService | Application started. Press Ctrl+C to shut down.
2026-06-28 23:46:25.594 +05:30 [INF] LoyaltyService | Hosting environment: Development
2026-06-28 23:46:25.603 +05:30 [INF] LoyaltyService | Content root path: C:\Users\2492194\OneDrive - Cognizant\Documents\Internship Project\backend\backend\LoyaltyService
2026-06-28 23:53:34.085 +05:30 [INF] LoyaltyService | Starting Loyalty Service...
2026-06-28 23:53:35.364 +05:30 [INF] LoyaltyService | Loyalty Service started successfully on port 5007
2026-06-28 23:53:35.807 +05:30 [INF] LoyaltyService | Now listening on: http://localhost:5007
2026-06-28 23:53:35.927 +05:30 [INF] LoyaltyService | Application started. Press Ctrl+C to shut down.
2026-06-28 23:53:35.929 +05:30 [INF] LoyaltyService | Hosting environment: Development
2026-06-28 23:53:35.931 +05:30 [INF] LoyaltyService | Content root path: C:\Users\2492194\OneDrive - Cognizant\Documents\Internship Project\backend\backend\LoyaltyService
